pair;x;y;r;p;rho;sig;n
FII_IT vs BAD_Db (posterior);FII_IT;BAD_Db;-0.0012112037620414416;0.9797653446663744;-0.011717354484813819;ns;441
FII_IT vs BAD_Df (anterior);FII_IT;BAD_Df;0.07937015643215553;0.09597866597474361;0.019852580761885327;ns;441
FII_Central vs BAD_Db (posterior);FII_Central;BAD_Db;-0.03128877435197548;0.5122360798920029;0.01810776742153262;ns;441
FII_Central vs BAD_Df (anterior);FII_Central;BAD_Df;0.03855704622295916;0.4192631381530679;-0.025173466981097896;ns;441
FII_IT vs BAD_D (composto);FII_IT;BAD_D;0.08107270814490919;0.08903786326761766;0.0716651359581954;ns;441
FII_Central vs BAD_D (composto);FII_Central;BAD_D;0.027294201875506803;0.5675537124938482;0.014217071977133464;ns;441
IAS (C-IT) vs BAD_Db (posterior);FII_IAS;BAD_Db;-0.03966028691134785;0.4060701632459982;0.05352952906708944;ns;441
FII_IT vs Pachy_Min;FII_IT;Pachy_Min;-0.045318360651992386;0.3423803991216147;-0.03915147698118518;ns;441
FII_IT vs K2;FII_IT;K2;-0.09250618880349974;0.052224235729895985;0.0189796540033329;ns;441
FII_IT vs Kmax;FII_IT;Kmax;0.03768099010020457;0.42991606010571454;0.042820492164780385;ns;441
BAD_Df vs BAD_Db (ant vs post Pentacam);BAD_Df;BAD_Db;0.30609393654627143;5.098405183798215e-11;0.23907835365857286;***;441
IAS vs BAD_D;FII_IAS;BAD_D;-0.0868247522378143;0.0685178026036403;-0.07555887763993194;ns;441
