Capitulo,Nome do Arquivo,Tamanho,Status
chapter1,anatomy_accommodation.png,658.3 KB,OK
chapter1,ciliary_muscle_anatomy_detailed.png,912.5 KB,OK
chapter1,dls_classification.png,668.2 KB,OK
chapter1,duane_curve.png,646.3 KB,OK
chapter1,duane_curve_clinical_comprehensive.png,898.9 KB,OK
chapter1,duane_curve_pt.png,582.0 KB,OK
chapter1,helmholtz_mechanism_comparison.png,694.3 KB,OK
chapter1,neural_effort_paradox.png,596.5 KB,OK
chapter1,onion_model_sclerosis.png,776.6 KB,OK
chapter1,pathophysiology_theories.png,644.4 KB,OK
chapter1,presbyopia_geographic_latitude_variation.png,828.6 KB,OK
chapter1,presbyopia_lenticular_progression.png,865.6 KB,OK
chapter1,pupil_dynamics.png,644.3 KB,OK
chapter1,pupil_dynamics_dof.png,702.0 KB,OK
chapter1,refractive_matrix.png,895.1 KB,OK
chapter10,expectation_contract.png,740.2 KB,OK
chapter10,neuroadaptation_curve.png,407.6 KB,OK
chapter10,plot_neuroadaptation_curve.png,296.9 KB,OK
chapter10,troubleshooting.png,552.8 KB,OK
chapter11,complications_heatmap.png,500.1 KB,OK
chapter11,decentration_algo.png,380.1 KB,OK
chapter11,dlk_grading.png,743.7 KB,OK
chapter11,dry_eye_cycle.png,777.0 KB,OK
chapter11,heatmap_complications.png,246.8 KB,OK
chapter12,decision_heatmap.png,594.5 KB,OK
chapter12,master_decision_algo.png,579.3 KB,OK
chapter12,outcomes_radar.png,360.9 KB,OK
chapter12,plot_ucdva_ucnva_comparison.png,216.9 KB,OK
chapter13,cheat_sheet.png,764.9 KB,OK
chapter13,master_pathway.png,671.0 KB,OK
chapter13,propedeutica_viability.png,625.2 KB,OK
chapter13,technique_selection.png,571.9 KB,OK
chapter13,triagem_decision.png,468.5 KB,OK
chapter2,aberrations_pupil_scaling.png,519.3 KB,OK
chapter2,diagram_qfactor_profiles.png,409.2 KB,OK
chapter2,diagram_ray_tracing_edof.png,252.4 KB,OK
chapter2,dof_contrast_tradeoff.png,773.2 KB,OK
chapter2,dof_mechanisms.png,718.6 KB,OK
chapter2,goldilocks_zone_sa.png,686.9 KB,OK
chapter2,mtf_curve.png,482.6 KB,OK
chapter2,neural_filter_adaptation.png,862.2 KB,OK
chapter2,oz_pupil_matrix.png,589.5 KB,OK
chapter2,psf_pupil_comparison_grid.png,531.7 KB,OK
chapter2,psf_simulation.png,515.2 KB,OK
chapter2,q_factor_profiles.png,505.5 KB,OK
chapter2,q_vs_sa_relationship.png,712.0 KB,OK
chapter2,sa_ray_tracing.png,657.8 KB,OK
chapter2,vision_simulation_presbylasik.png,705.9 KB,OK
chapter2,zernike_clinical_pyramid.png,711.2 KB,OK
chapter2,zernike_psf_manifestation.png,457.7 KB,OK
chapter2,zernike_pyramid.png,479.7 KB,OK
chapter2,zernike_pyramid_clinical.png,590.4 KB,OK
chapter2,zernike_pyramid_standard.png,628.8 KB,OK
chapter3,ectasia_screening_evolution_ambrosio.png,939.7 KB,OK
chapter3,holland_filter.png,803.2 KB,OK
chapter3,opportunity_windows.png,724.1 KB,OK
chapter3,risk_matrix.png,676.7 KB,OK
chapter3,risk_matrix_v2.png,840.0 KB,OK
chapter3,rsb_calculator.png,764.3 KB,OK
chapter3,screening_flow.png,386.8 KB,OK
chapter3,screening_trifecta_kappa_pupil_pta.png,928.7 KB,OK
chapter4,centration_strategy.png,718.5 KB,OK
chapter4,centration_strategy_es.png,712.1 KB,OK
chapter4,centration_strategy_pt.png,645.5 KB,OK
